pair_id,overconf_qid,overconf_self,overconf_pmax,overconf_entropy,overconf_question,underconf_qid,underconf_self,underconf_pmax,underconf_entropy,underconf_question
calib_000,sqa_test_d370c9537bcdee79fa11c26172e4a520a2fda9bfd0f4169c6328f547b71fcd8c,0.949743918002811,1.0,9.489048821494626e-09,,sqa_test_1984659f182697f6dd5382ae3be5592b54e45c49729e4236d81da3f7a4a0ec3c,0.025002390611265735,0.9942949526812123,0.03855736162057536,
calib_001,sqa_test_0227098556a959b5231dd6baed0245081c786753058d7a0cf8dbebac2c8152da,0.9496969880110993,0.9999997615814777,3.3155359097999256e-06,,sqa_test_59e99cdba70c49380b0d60cd42c985acff882aa49991cb0281df3ae97f782217,0.0254423741235619,0.9999094091471806,0.0009565764411480787,
calib_002,sqa_test_a2ee0f9e1d81123b42bd6b4ee113fbf4020314b184b1aa0d92e3ca9044caff21,0.9493097281116565,0.9999979734461775,2.995890251842901e-05,,sqa_test_670263205e91d781b778aced7a03ac0d0737eb891359639eb1c02ad115e946b5,0.025647385049933913,0.34623861501237274,1.1082159518992247,
calib_003,sqa_test_8e12cf0b4ea504403976485e99f13f469492029ac64dec21a92f2b014ba5e183,0.948141966988463,1.0,3.66259188078188e-07,,sqa_test_f0e2d2594d02aef81dbfdeb949ee73291cdc4d3c8157cd3e243981413c6c0770,0.02567095321781459,0.9518625968316843,0.19729149910738528,
calib_004,sqa_test_110f739da429f9568c2420d40b078c0cc571df2eccf431acd7faee8beb0776e6,0.941348356564358,0.9999898673126559,0.00012667812680313762,,sqa_test_b4890ab521399ffc125eb6c632a7f56292280fa34717c437aec52fe322a978c0,0.02655218880413652,0.9979706545924083,0.015042055424652158,
calib_005,sqa_test_a18f310440a20c2d791491fd0f42c5372de3f0039e22f04f2cf23385b70ad0dd,0.9339750208030358,0.9026261933185579,0.32993094457919203,,sqa_test_bea1cd156a2af78974e4bc4418f2250bcd64b28ee6b81e6a9a6d699b7dbf0aca,0.027613663447756266,0.9399016375879827,0.22736091894208862,
calib_006,sqa_test_819e4e2ae832d3da5dcb0d49c9cd63a4f9f8898ac7d5832f87db72165d74ed8e,0.9316499223779886,0.8519524937477384,0.41931173061599847,,sqa_test_5e0d51f03a08c58078e98e46c1be4928e263f3bf455503c2a2b642f941997cd3,0.029512687432041548,0.9998737733040751,0.0012743769671203328,
calib_007,sqa_test_78d190f153744dbdadc38c3e9c9b31641ef4aa2b5151f0cfc6c51e36d760d6fb,0.9278375089808304,0.6777126594089562,0.6415512040628998,,sqa_test_c5adcd6caf868057ca414374730cbc1086110c482a6c28a4626704fdeb050da0,0.029810729164527754,0.9976765383323003,0.016952373711342967,
calib_008,sqa_test_6bea9cdc64fc2f576e4c337bca834f9074293f18319489a0210aaeb371d642de,0.9270061462796276,0.9999833109787883,0.00020121737256540264,,sqa_test_02f4ed9255acfd91b0600e4f5cdb78a88146b3c5a3b38c4f2efeae04d7f621f0,0.03445816714822856,0.7764463914033798,0.5389369259337781,
calib_009,sqa_test_3e384ddfeb267e45a04abb7823562a816bc5e757335efca51e532abe274084f7,0.9230853896053258,0.9999998807907247,2.3212090539421344e-06,,sqa_test_9dc8bbf691a84b956c81d92ce9542cebf8e6c30c908779bfe04535167233ba5d,0.04039003736097873,0.9184119914558372,0.30785561864066624,
calib_010,sqa_test_4d2468c871bb288e79d73987ccaee18c81caab33dd3e8fdee5abc9630211c08a,0.9219646439341987,0.9999998807907247,1.600557830423614e-06,,sqa_test_a5d138b89e599474a23493a71de03ea98f311cf3e33c47f3e5364c01d684d927,0.07509508859715802,0.9818172158781548,0.09208761279208226,
calib_011,sqa_test_df33c2d3a04e34dd1801adbfad5c8a5c58d1b3cff29d342b59d03d1f18cfea17,0.9201805898217236,0.7091502038658005,0.7863421690090484,,sqa_test_f2ce67616cd40ccf513be3830e4f531b81656c5ab0cd11f946a84a2f83b8bd4f,0.07677140308392633,0.4697733913682151,1.134565201219388,
calib_012,sqa_test_a5a8e9ef594ee09aed97f76fe279d0fcbf91b927076d1601de65112dc8490a8e,0.887714708629541,0.7515821925778468,0.6701568189663837,,sqa_test_2544b072d5c93430298e085d254e35f45e0d6dc07f20f96d09ffe1a9ff4a29ae,0.0786451803299054,0.6219921566432473,0.6689696286269731,
calib_013,sqa_test_454c60951e7a8b195c14782929e7ed5ed4c4150ac0f04f3b0a737797620bfcec,0.8843202748855137,0.9997161240814908,0.0026909674949298235,,sqa_test_3f5d0ac03f186f3c528162f208950ad453ec97cc438366e5b8d98c54ab344ce5,0.07892473095526072,0.9999009468904619,0.0010272579583711322,
calib_014,sqa_test_a799fff6669cca81b0407c23336b7c02f95f9afeebf1e67fd77a992b5e3a6033,0.874507821858235,0.9999836685934766,0.00020736404877528137,,sqa_test_392b88b28b3e23255f555d9476a336e5363086c7d329ae00afefc2c35a43bfdf,0.07914304934999004,0.9947695373478773,0.03547112423768099,
calib_015,sqa_test_176d27456f273f7d425ca2303859c1c5cbde35918e88d84cae85535e13e6ef22,0.8683624815085914,0.9995610257465848,0.004206315600804128,,sqa_test_9dcbdba28a8f0d1dbec0c9e4621f82fafacaaa88f4a0e167776aec180b283aab,0.0795876432371205,0.9997216046250976,0.002631767452771538,
calib_016,sqa_test_b7c32978e530c10fac3ff5638b8fbe446e94dc87e21c86b98dad0cd64ba44f05,0.8661645411363813,0.9996634662716496,0.0030352757909549136,,sqa_test_7b0976e6e5c0f1b1053eaba28118c1185b2b0a24580e2c46b55381bc51da1fcf,0.08468003586864088,1.0,9.143184869430589e-08,
calib_017,sqa_test_74299fba786da807718e7e00cb8e4e57ed1d9e2f4743feb661314d70be875866,0.8616107609571388,0.9991909855269039,0.006599797426720162,,sqa_test_127c45a6feaccb8a4e88692ab4d675438c49527bf5813b3e9f0620b1b9a7c364,0.09047431801502998,0.8962200508519668,0.3686419997862631,
calib_018,sqa_test_397f9441297b031af9a1268d935c97b8520ed560c6ffc4f81d6c0188de105ada,0.8528828008823535,0.9999985694905718,2.0205372216833656e-05,,sqa_test_b9a830338aab07b6acd169b039bdea6f2c46b2ccbd91116025ee5b484f4ec439,0.09113752761483966,0.6211865314668316,0.6764938364031908,
calib_019,sqa_test_9e88523da3829fe0badacf1cb5fbd57883a35ebce6ad5b4da0b68d4b50bae482,0.8528597327090092,0.9975265796754544,0.017322944751762638,,sqa_test_625d3f801a785d26deb2eaf4e7032320ba385055f8f87ad2e3b4536c1e76e631,0.09924826474427567,0.6123017431321024,0.7353843373436292,
calib_020,sqa_test_98346bc0d022ba0823bd709ec3c59a6486b23f0bb9ee4da1c587a5acb35df035,0.8507517888888305,0.6791430123663149,0.6280322365227826,,sqa_test_71197e7ac40685beefe9728e7a63fad6f4acce9f4643e3e3b68b0fdd74462840,0.1087374230534402,0.9713516039221304,0.13928310828055435,
calib_021,sqa_test_699217e05f0ab897577a7cf62d664b48b6e07ddb19209d17cf764b04345da2c3,0.8501320562303475,0.9999998807907247,3.3597322093579642e-06,,sqa_test_fa70269e04b74c33c208b92334b60d9cc147273cb15e6c42fe7d6426303ab881,0.11382799338598505,0.9999814036965474,0.00024291864281946759,
calib_022,sqa_test_ad32fa76f206a97425275ecdef85bf65edaa9558577b3e36b6de78690aed3a9b,0.8489230228503207,0.9990533024231847,0.00810284807588732,,sqa_test_d8b4ab23232f822f00f0dfe99c96a3ce6e3d7545b72b6e9fa9aeee8fc3a9626a,0.13609794544868975,0.988712778472572,0.0633571610536859,
calib_023,sqa_test_36a4da74fe89fac75dc7d2eebe47f7a6767069c1d0e7c0b9c2251a443034d775,0.846789182417657,0.9977897490354195,0.017121591283436453,,sqa_test_644c31f61052bf3c68774eefb3778ee0a3be0a6abe9ae4bf911ab3f29ccd7391,0.13887705634822514,0.9999893904859,0.00013918655707728707,
calib_024,sqa_test_7e08bdedbdc894d44ae748fb898e82b673952cf0038b5e8088b611a76ec461a8,0.8459983825050718,0.6223939234241597,0.6639064088496791,,sqa_test_1aecf58a502ecc6d38940533b62f419a813541ae136c3fa709e08d3786d82de5,0.1413191601051001,0.9951013669444412,0.03330555180565569,
calib_025,sqa_test_ab36bdcdbf1d1092e347560d7352a497c54dada41b966347e3af76d538463a4a,0.8452511895802735,0.9984240374121491,0.012045313247772556,,sqa_test_555641c671bbf0a5c55d1b9fc21aca8359ecd576a569237dd498a9a2815baa92,0.14772144996947534,0.9800529065934264,0.10561011453852978,
calib_026,sqa_test_6fb8ee46a3d97e74d0d47583bd797a468ded29653a74c7b6c1c3bb073236949f,0.837893572124774,0.9999765163221908,0.00028173185383621274,,sqa_test_50fcadcfc576a1b2d11111b88809ff3ee2b71565b0f8d0723de4953b2f833b69,0.16461082064640753,0.9982881099073614,0.012684558027219293,
calib_027,sqa_test_1708f1d366967826783a38c86b6be67d85f997ee999f5927d75ae0218fc891a4,0.8373341536421554,0.9988246680869202,0.009143402377868074,,sqa_test_f7ab916f77103b9e18539004f97cee90e459f2e4c65fc1d8925fea0f76555109,0.1722191751738033,0.9974633591473784,0.01803278052241618,
calib_028,sqa_test_56ed28fe93a9be035dd87f35ce932dfd7d04cb03c48e4add8bd03a65812407da,0.8365370165654096,0.9984980763623067,0.011271592431405476,,sqa_test_f266829f905b3f556eb572718e27f683a4c8444bdf7a683d9117ef9724adbb40,0.19095637469342028,0.9999995231630692,7.778001063112947e-06,
